date,share_pct,basis,label,source_url
2025-12-30,34.04,common_judged,2025년 말,https://www.mt.co.kr/stock/2026/08/03/2026073116334933790
2026-01-27,36.31,common_judged,코스피 5000,https://www.etoday.co.kr/news/view/2590063
2026-02-25,38.47,common_judged,코스피 6000,https://www.etoday.co.kr/news/view/2590063
2026-03-18,40.61,common_judged,첫 40%,https://v.daum.net/v/20260318160010080
2026-05-06,44.51,common_judged,코스피 7000,https://www.etoday.co.kr/news/view/2590063
2026-05-26,48.79,common_judged,코스피 8000,https://www.etoday.co.kr/news/view/2590063
2026-05-27,50.44,common_judged,첫 50%,https://biz.heraldcorp.com/article/10757766
2026-06-02,52.52,common_judged,,https://www.etoday.co.kr/news/view/2590063
2026-06-18,54.40,common_stated,코스피 첫 9000,https://biz.heraldcorp.com/article/10781941
2026-06-22,55.67,common_stated,보도상 최고,https://www.newsis.com/view/NISX20260623_0003679726
2026-07-28,50.02,common_judged,7·28 급락일,https://biz.heraldcorp.com/article/10824149
2026-07-31,51.23,common_judged,,https://www.mt.co.kr/stock/2026/08/03/2026073116334933790
